[(2012-12-23) 15시17분56초]	237 Server Start
[(2012-12-23) 16시16분44초]	513 Server Start
[(2012-12-23) 16시20분1초]	343 Server Start
[(2012-12-23) 16시21분56초]	43 Server Start
[(2012-12-23) 16시23분16초]	664 Server Start
[(2012-12-23) 16시23분52초]	995 Server Start
[(2012-12-23) 16시25분12초]	660 Server Start
[(2012-12-23) 16시26분9초]	227 Server Start
[(2012-12-23) 16시26분42초]	401 Server Start
[(2012-12-23) 16시28분6초]	613 Server Start
[(2012-12-23) 16시28분36초]	702 Server Start
[(2012-12-23) 16시29분41초]	434 Server Start
[(2012-12-23) 16시30분19초]	2 Server Start
[(2012-12-23) 16시39분41초]	232 Server Start
[(2012-12-23) 17시15분18초]	615 Server Start
[(2012-12-23) 17시15분28초]	86 Server Start
[(2012-12-23) 17시49분21초]	946 Server Start
